,Name,Class,Probability,g no points,r no points
58,ZTF21aaftgxr,SNII,0.336,5,16
59,ZTF22abtemqs,SNIbc,0.388,8,2
60,ZTF22abtjdgu,SNII,0.354,15,13
61,ZTF18adlammq,SNIbc,0.314,6,2
62,ZTF22abrlsde,SNIbc,0.384,5,12
63,ZTF19adkrgbk,SNIbc,0.398,10,9
64,ZTF22abnqxjf,SNIbc,0.36,3,9
65,ZTF18adnrgmv,SNIbc,0.294,9,7
66,ZTF19aakkkwc,SNII,0.396,7,12
67,ZTF22abpwjqt,SNIbc,0.308,0,6
68,ZTF20aafbjrv,SNIbc,0.418,6,7
69,ZTF22abnpfon,SNIbc,0.428,3,11
70,ZTF22abnpeow,SNII,0.37,8,13
71,ZTF22abnperq,SNIbc,0.458,4,12
72,ZTF22abpynoy,SNIbc,0.35,8,6
73,ZTF22abtohie,SNII,0.308,11,9
74,ZTF18admqwvl,SNIbc,0.336,5,8
75,ZTF22abtfrwm,SNII,0.37,11,4
76,ZTF22abnoiwv,SNIbc,0.408,9,17
77,ZTF19adkrjtf,SNIbc,0.28,8,3
78,ZTF22abnmngf,SNIbc,0.426,4,9
79,ZTF22abtfpcd,SNII,0.362,19,14
80,ZTF22aadspwz,SNIbc,0.326,9,9
81,ZTF18admreha,SNIbc,0.354,10,16
82,ZTF22abtdxra,SNIbc,0.382,6,4
83,ZTF22abtelau,SNII,0.36,9,15
84,ZTF22abngvrq,SNIbc,0.278,3,6
85,ZTF22abmzsaj,SNIbc,0.458,1,8
86,ZTF22abocaua,SNIbc,0.344,3,7
87,ZTF20actxvkr,SNIbc,0.368,2,12
88,ZTF18adkchxv,SNIbc,0.288,5,6
89,ZTF18adkopgj,SNIbc,0.358,9,8
90,ZTF18admohte,SNIbc,0.332,5,8
91,ZTF22abrhinn,SNII,0.332,6,9
92,ZTF18adjebtc,SNIbc,0.338,9,7
93,ZTF22abrhkac,SNIbc,0.326,13,17
94,ZTF22abrsnps,SNIbc,0.352,7,10
95,ZTF18adkwdbw,SNIbc,0.322,8,9
96,ZTF22absoyte,SLSN,0.402,10,4
97,ZTF20adgaieq,SLSN,0.312,8,8
98,ZTF22abokyme,SNIbc,0.33,7,12
99,ZTF21aafhiwt,SLSN,0.372,16,14
100,ZTF22abubcei,SNIbc,0.368,5,6
101,ZTF22abvggfb,SNIbc,0.33,0,27
102,ZTF22abutfrz,SNIbc,0.57,7,15
103,ZTF22abunrnh,SNII,0.444,5,39
104,ZTF22abtwnja,SNIbc,0.478,1,6
105,ZTF22abxwkeg,SNIbc,0.296,0,7
106,ZTF22abvbgrf,SNIbc,0.328,0,16
107,ZTF18admioim,SNIbc,0.304,0,6
108,ZTF18adnttle,SNIbc,0.326,3,6
109,ZTF22abyfxzz,SNIbc,0.308,3,6
110,ZTF22abvgghf,SNIbc,0.3,0,20
111,ZTF22abunqps,SNIbc,0.338,1,17
112,ZTF22abtssvk,SNIbc,0.45,3,10
